price,area,location,property_type,bedroom,latitude,longitude
3828000,605,Vasai,Apartment,1,19.39545822,72.84721375
5528000,790,Vasai,Apartment,2,19.39545631,72.84721375
8250000,900,Thane,Apartment,2,19.28334618,72.95620728
8700000,424,Malad,Apartment,1,19.20244408,72.82131958
4500000,650,Dombivali,Apartment,1,19.22516441,73.0796814
7350000,680,Kalwa,Apartment,1,19.20948792,73.01093292
19900000,1800,Kharghar,Apartment,3,19.03493881,73.07228088
12900000,1150,Kharghar,Apartment,2,19.0709343,73.07907867
18500000,1200,Borivali,Apartment,3,19.25018883,72.84818268
6100000,970,Virar,Apartment,2,19.45896912,72.79956818
9800000,460,Ghatkopar,Apartment,1,19.09097862,72.91364288
16200000,800,Ghatkopar,Apartment,2,19.0890255,72.91495514
16000000,700,Ghatkopar,Apartment,2,19.08760643,72.91466522
35100000,859,Dadar,Apartment,3,19.01498032,72.83869934
2800000,540,Virar,Apartment,1,19.46921349,72.79705811
7300000,675,Kalyan,Apartment,1,19.24263382,73.13677979
3300000,630,Kalyan,Apartment,1,19.2446003,73.12349701
10000000,1345,Thakurli,Apartment,3,19.22567177,73.10028076
6600000,685,Dombivali,Apartment,1,19.22491646,73.10826111
9400000,980,Kalyan,Apartment,2,19.22584534,73.09985352
7000000,670,Vashi,Apartment,1,19.06760406,72.98732758
4850000,675,Dombivali,Apartment,1,19.20101738,73.09404755
8000000,840,Dombivali,Apartment,2,19.20101738,73.09404755
4700000,595,Dombivli,Apartment,1,19.22516441,73.0796814
5000000,645,Dombivali,Apartment,1,19.20101738,73.09404755
4500000,585,Dombivli,Apartment,1,19.22516441,73.0796814
6799999,323,Kandivali,Apartment,1,19.19430161,72.8680954
15500000,774,Vikhroli,Apartment,3,19.11235237,72.93083954
19800000,950,Goregaon,Apartment,2,19.16102791,72.84053802
4150000,650,Panvel,Apartment,1,18.94493675,73.13698578
71300000,1400,Mahim,Apartment,3,19.03028679,72.8395462
1950000,425,Taloja,Apartment,1,19.07120705,73.097229
9200000,1200,Ulwe,Apartment,2,18.97817993,73.03097534
6500000,555,Kasaradavali Thane,Apartment,1,19.26475143,72.96831512
53000000,1350,Parel,Apartment,3,18.99879456,72.84338379
9900000,1020,Mira Road,Apartment,2,19.28219795,72.88488007
6800000,850,Mira Road,Apartment,1,19.28219795,72.88488007
8500000,595,Dahisar,Apartment,1,19.26285553,72.86623383
29400000,1252,Dahisar,Apartment,3,19.24886703,72.86382294
11500000,890,Dahisar,Apartment,2,19.25222778,72.86793518
13500000,1850,Kharghar,Apartment,3,19.06980515,73.07961273
28500000,1100,Dahisar,Apartment,3,19.25222778,72.86793518
13000000,850,Dahisar,Apartment,2,19.25833702,72.87429047
19500000,850,Dahisar,Apartment,2,19.25222778,72.86793518
14000000,809,Dahisar,Apartment,2,19.25134277,72.87204742
33300000,1180,Chembur,Apartment,2,19.04581451,72.89766693
33300000,1180,Chembur,Apartment,2,19.04581451,72.89766693
11800000,1800,Kharghar,Apartment,3,19.08200455,73.0825119
13900000,1480,Dombivali,Apartment,1,19.23362923,73.08470154
7700000,880,Dombivali,Apartment,1,19.23362923,73.08470154
4900000,580,Dombivali,Apartment,1,19.18523216,73.09324646
14000000,1415,Kharghar,Apartment,3,19.07340813,73.07310486
14500000,666,Goregaon,Apartment,2,19.16594887,72.84719849
16000000,757,Kurla,Apartment,2,19.07312965,72.88269043
3800000,710,Ulwe,Apartment,1,18.96816063,73.028862
