price,status,area,price_per_sqft,property_type,locality,builder_name,rera_approval,bhk,society,company_name,flat_type,price_cr,price_segment,area_segment
14000000.0,Resale,1557,8991,Residential Plot,Pocket B,Provident Capital,Not Approved By Rera,0,Outside Socity,Outside,Plot,1.4,Mid Range,Medium
46600000.0,Resale,3231,14444,Residential Plot In Experion The Westerlies Plots,Sector 108,Ak Homes,Not Approved By Rera,0,Experion The Westerlies Plots,Experion,Plot,4.66,Premium,Ultra Large
17100000.0,Under Construction,1975,8658,3 Bhk Apartment In Krisumi Waterfall Residences,Sector 36A,Ak Homes,Approved By Rera,3,Krisumi Waterfall Residences,Krisumi,Apartment,1.71,Mid Range,Medium
10000000.0,Ready to Move,1040,9615,2 Bhk Independent Floor In Ss Mayfield Garden,Sector 51,Gurgaon Properties,Not Approved By Rera,2,Ss Mayfield Garden,SS,Floor,1.0,Mid Range,Medium
30600000.0,Ready to Move,3600,8500,3 Bhk Apartment In Experion Windchants,Sector 112,Home,Not Approved By Rera,3,Experion W,Experion,Apartment,3.06,Premium,Ultra Large
19300000.0,Ready to Move,2275,8500,2 Bhk Apartment In Experion Windchants,Sector 112,Property In Gurgaon,Not Approved By Rera,2,Experion W,Experion,Apartment,1.93,Mid Range,Large
55400000.0,Ready to Move,6525,8500,5 Bhk Apartment In Experion Windchants,Sector 112,Properties For Sale In Gurgaon,Not Approved By Rera,5,Experion W,Experion,Apartment,5.54,Luxury,Ultra Large
38400000.0,Ready to Move,4525,8500,4 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,4,Experion W,Experion,Apartment,3.84,Premium,Ultra Large
39500000.0,Ready to Move,4650,8500,4 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,4,Experion W,Experion,Apartment,3.95,Premium,Ultra Large
53700000.0,Ready to Move,6325,8500,5 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,5,Experion W,Experion,Apartment,5.37,Luxury,Ultra Large
22500000.0,Ready to Move,2650,8500,3 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,3,Experion W,Experion,Apartment,2.25,Premium,Large
56900000.00000001,Ready to Move,6700,8500,4 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,4,Experion W,Experion,Apartment,5.69,Luxury,Ultra Large
31000000.0,Ready to Move,3650,8500,3 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,3,Experion W,Experion,Apartment,3.1,Premium,Ultra Large
29900000.000000004,Ready to Move,3525,8500,3 Bhk Apartment In Experion Windchants,Sector 112,Sairabh Ventures Pvt Ltd,Not Approved By Rera,3,Experion W,Experion,Apartment,2.99,Premium,Ultra Large
23200000.0,Ready to Move,4150,5600,4 Bhk Apartment In Paras Dews,Sector 106,Sairabh Ventures Pvt Ltd,Not Approved By Rera,4,Paras Dews,Paras,Apartment,2.32,Premium,Ultra Large
