price,area,locality,property_type,bedroom_num,latitude,longitude
0.45,750,Virar,Apartment,1,19.45196724,72.80718231
1.07,850,Thane,Apartment,2,19.24264526,72.97179413
1.24,950,Thane,Apartment,2,19.23759651,72.97093201
2.65,1650,Thane,Apartment,4,19.23395538,72.98749542
0.41,650,Panvel,Apartment,1,18.94446754,73.13665771
0.73,750,Mira Road,Apartment,1,19.28165245,72.88603973
0.63,1050,Panvel,Apartment,2,18.94446182,73.13666534
1.35,1125,Kharghar,Apartment,2,19.04068375,73.07875824
1.1,980,Thane,Apartment,2,19.21817207,72.98071289
0.85,1100,Khar,Apartment,2,19.07259941,73.0763092
1.05,1150,Kharghar,Apartment,2,19.07089233,73.07003021
1.25,1125,Kharghar,Apartment,2,19.04979515,73.07844543
1.3,1250,Kharghar,Apartment,2,19.04951477,73.07559204
1.3,1250,Kharghar,Apartment,2,19.04951477,73.07559204
1.83,1310,Kharghar,Apartment,2,19.07197189,73.08110809
0.9,600,Thane,Apartment,1,19.23244095,72.98609161
1.4,1250,Kharghar,Apartment,2,19.06076813,73.08040619
1.4,1250,Kharghar,Apartment,2,19.06076813,73.08040619
0.45,520,Thane,Apartment,1,19.26938438,72.97092438
1.45,1200,Kharghar,Apartment,2,19.04998589,73.07302856
1.75,1650,Kharghar,Apartment,3,19.04291344,73.06665802
1.75,1650,Kharghar,Apartment,3,19.04291344,73.06665802
1.05,1100,Panvel,Apartment,2,19.04979515,73.07844543
0.95,1025,Kharghar,Apartment,2,19.04979515,73.07844543
1.05,1100,Panvel,Apartment,2,19.04979515,73.07844543
1.1,1050,Kharghar,Apartment,2,19.07089233,73.07003021
0.75,700,Kharghar,Apartment,1,19.07066727,73.07332611
0.59,658,Kharghar,Apartment,1,19.06352615,73.05749512
0.99,1120,Kharghar,Apartment,2,19.06352615,73.05749512
1.4,1125,Kharghar,Apartment,2,19.04291344,73.06665802
1.1,1000,Kharghar,Apartment,2,19.04327202,73.06098938
1.15,1115,Kharghar,Apartment,2,19.07089233,73.07003021
1.25,1125,Kharghar,Apartment,2,19.0720787,73.0790863
1.25,1500,Kharghar,Apartment,3,19.06352615,73.05749512
1.25,1500,Kharghar,Apartment,3,19.06352615,73.05749512
0.92,1000,Kharghar,Apartment,2,19.04979515,73.07844543
1.3,1125,Kharghar,Apartment,2,19.04998589,73.07302856
1.52,1550,Kharghar,Apartment,3,19.0669384,73.07126617
1.52,1550,Kharghar,Apartment,3,19.0669384,73.07126617
1.45,1250,Kharghar,Apartment,2,19.04068375,73.07875824
1.45,1250,Kharghar,Apartment,2,19.04068375,73.07875824
1.55,1550,Kharghar,Apartment,3,19.03447914,73.07565308
6.77,2152,Deonar,Apartment,3,19.03983498,72.91130066
1.05,1200,Kharghar,Apartment,2,19.06996536,73.08313751
3.27,1040,Kandivali,Apartment,3,19.20620918,72.87017822
